Date,MOD
2018-06-16-08:55,18013
2018-06-16-09:00,18020
2018-06-16-09:05,17205
2018-06-16-09:10,17220
2018-06-16-09:15,17225
2018-06-16-09:20,17104
2018-06-16-09:25,17119
2018-06-16-09:30,17176
2018-06-16-09:35,17248
2018-06-16-09:40,17324
2018-06-16-09:45,17380
2018-06-16-09:50,19404
2018-06-16-09:55,19419
2018-06-16-10:00,19453
2018-06-16-10:05,20556
2018-06-16-10:10,20580
2018-06-16-10:15,20583
2018-06-16-10:20,20850
2018-06-16-10:25,20861
2018-06-16-10:30,20736
2018-06-16-10:35,19331
2018-06-16-10:40,19342
2018-06-16-10:45,19394
2018-06-16-10:50,20530
2018-06-16-10:55,20545
2018-06-16-11:00,20537
2018-06-16-11:05,20971
2018-06-16-11:10,20975
